name,use,dmlens
3D1au,1.0,0.021814242429630253
3D1ax,1.0,-0.0023150373204156305
3D1co,1.0,0.009991884862876041
3D1ew,1.0,8.080952290651089e-05
3D1fq,1.0,0.014545021877590367
3D3ay,1.0,0.008433592153936739
3D3bl,1.0,-0.03224737885634583
3D4ag,0.0,0.0
3D4au,0.0,0.0
3D4cx,0.0,0.0
3D4cz,0.0,0.0
3D4di,0.0,0.0
3D4fd,0.0,0.0
3D4gg,0.0,0.0
4D1dc,1.0,0.0003860769891274483
4D1ff,1.0,0.008940432055762698
4D1hx,0.0,0.0
4D1iv,1.0,-0.025029281512234006
4D1jg,1.0,0.009595571061573417
4D1ks,1.0,0.011176195735542932
4D1ow,1.0,0.026881770566941146
4D1pd,1.0,-0.04606393813016221
4D1pp,1.0,-0.017898882106387626
4D1qd,1.0,-0.009225598261437928
4D1rx,1.0,-0.027964763034748888
4D1si,1.0,0.027249811581920365
4D2al,1.0,-0.013537316154728904
4D2cf,0.0,0.0
4D2fs,1.0,0.010957105845449141
4D2gc,0.0,0.0
4D2iu,0.0,0.0
4D2kr,1.0,-0.19832724090022708
4D2mh,1.0,-0.008480772158721006
4D3co,0.0,0.0
4D3dd,0.0,0.0
4D3do,1.0,0.02365398408609099
4D3fk,1.0,0.003887846754732147
4D3gt,1.0,-0.020751673354867304
4D3hn,1.0,-0.0679535431528534
4D3ks,1.0,0.004686746569821279
4D3lu,1.0,0.030826131898591812
4D3ml,1.0,0.05860342141322346
4D3nh,0.0,0.0
4D3ny,1.0,0.01810923116014715
4D4an,0.0,0.0
4D4bq,0.0,0.0
4D4dw,0.0,0.0
4D4gg,0.0,0.0
4D4hu,0.0,0.0
4D4ic,0.0,0.0
4D4ih,0.0,0.0
4D4im,0.0,0.0
4D4jr,0.0,0.0
4D4jw,0.0,0.0
5D1az,0.0,0.0
5D1cc,1.0,0.0014944882057535969
5D1cl,1.0,-0.005822900295453223
5D1dx,1.0,-0.03291587551813341
5D1em,1.0,-0.006218108197658334
5D1er,1.0,-0.010532339531450927
5D1hm,0.0,0.0
5D1ix,1.0,-0.03746515868622269
5D1ke,1.0,0.01628228329867367
5D2ab,1.0,0.007107781609144885
5D2ah,0.0,0.0
5D2bt,1.0,-0.053475764444769064
5D2bw,1.0,-0.0014395312089918733
5D2cb,1.0,0.0031908995600317402
5D2ck,1.0,0.016846536885068854
5D2dt,0.0,0.0
5D2dy,1.0,0.009126998918665613
5D2ec,1.0,0.03035743065272501
5D2hc,0.0,0.0
5D2ie,1.0,0.004940657764048624
5D2mp,1.0,-0.0011724381333338037
5D2nn,1.0,0.07953932572482283
5D2ob,1.0,0.07473587259495822
5D3cf,1.0,0.002932747029867209
5D3cq,1.0,-0.10704218876283375
5D3dd,1.0,-0.01593394821615215
5D3gp,0.0,0.0
5D3ha,1.0,0.0326445951879542
5D3hs,0.0,0.0
5D3jb,1.0,-0.0013176015301437777
5D3jk,0.0,0.0
5D3jr,1.0,-0.013728279478797395
5D3kp,1.0,0.03743569216129983
5D3kx,1.0,0.004439244945000962
5D3lb,0.0,0.0
5D3lr,1.0,0.02629025782946086
5D3mn,1.0,-2.336479473941111e-05
5D3mx,1.0,-0.03609910247143275
5D4af,0.0,0.0
5D4av,0.0,0.0
5D4bf,0.0,0.0
5D4bj,0.0,0.0
5D4cn,0.0,0.0
5D4cs,0.0,0.0
5D4dt,0.0,0.0
5D4dy,0.0,0.0
5D4ej,0.0,0.0
5D4ev,0.0,0.0
5D4fg,0.0,0.0
5D4gw,0.0,0.0
6D2bk,1.0,0.008054705144480201
6D2cc,1.0,-0.0017108340922202467
6D2ce,0.0,0.0
6D2fb,1.0,-0.002043717586570855
6D2gb,0.0,0.0
6D3cc,1.0,0.0310398120018145
6D3do,1.0,0.005403492917398736
6D3ed,1.0,0.014804898762316759
